Mon Dec 13 09:50:01 2021 +0100,e509243,add sbb-cloud to proxy-exceptions
Mon Nov 22 13:02:53 2021 +0100,e509243,Added stage and system name
Mon Nov 22 12:57:12 2021 +0100,e509243,Fix dev + test too
Mon Nov 22 12:51:22 2021 +0100,e509243,Enable APIM management
Mon Nov 22 12:08:13 2021 +0100,e509243,Removed unnecessary params
Mon Nov 22 11:36:39 2021 +0100,e509243,ROSYF-135,Move to APIM 4.0
Mon Nov 22 10:36:25 2021 +0100,e509243,Fix proxy
Mon Nov 22 10:09:13 2021 +0100,e509243,Remove reference to int-asterix
Mon Nov 22 10:06:00 2021 +0100,e509243,ROSYF-135,rosya-int to rosy-int
Fri Nov 19 09:36:40 2021 +0100,e509243,ROSYF-135,Create specific openshift config for Lisa
Thu Nov 18 11:46:15 2021 +0100,e509243,Fix rosy-int Token @ lisa
Thu Nov 18 11:18:56 2021 +0100,e509243,Deploy to int (lisa) automatically.
Thu Nov 18 11:10:43 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/localization-service.git into develop
Thu Nov 18 11:10:24 2021 +0100,e509243,Add lisa cluster
Wed Nov 17 13:38:36 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.12.0-SNAPSHOT
Wed Nov 17 13:38:12 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.11.8
Thu Nov 11 15:44:21 2021 +0100,e509243,ROSYF-132,SpringBoot Upgrade
Thu Sep 23 14:22:53 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.12.0-SNAPSHOT
Thu Sep 23 14:22:34 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.11.7
Thu Sep 23 14:18:03 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/localization-service.git into develop
Thu Sep 23 14:17:41 2021 +0200,e509243,ROSYF-121 Make compatible with HikariDataSource
Thu Sep 23 11:29:21 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.12.0-SNAPSHOT
Thu Sep 23 11:28:56 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.11.6
Thu Sep 23 11:12:07 2021 +0200,e509243,ROSYF-121,Make idle-timeout work
Thu Sep 23 09:13:07 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.12.0-SNAPSHOT
Thu Sep 23 09:12:30 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.11.5
Thu Sep 23 09:08:15 2021 +0200,e509243,Use /health instead of /info for the health check
Wed Sep 22 11:24:03 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/localization-service.git into develop
Wed Sep 22 11:23:42 2021 +0200,e509243,Moved prod to PGO
Mon Sep 20 14:07:51 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.12.0-SNAPSHOT
Mon Sep 20 14:07:28 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.11.4
