Mon Nov 22 11:08:13 2021 +0100,u234798,fix
Mon Nov 22 10:52:16 2021 +0100,u234798,Variante Forulierung shunting
Mon Nov 22 10:41:48 2021 +0100,u234798,fix warnings
Mon Nov 22 10:22:29 2021 +0100,Manuel Bröchin,modified model to reduce explosion of shunting atoms
Fri Nov 19 17:28:57 2021 +0100,u235086,Pull request #1,Extensions
Wed Nov 17 08:26:00 2021 +0100,u234798,adding some explanation comments
Thu Nov 11 18:01:48 2021 +0100,u234798,Zeitvorgaben auf Start- und Endpunkten
Thu Nov 11 15:43:21 2021 +0100,u234798,some comments
Thu Nov 11 14:57:14 2021 +0100,u234798,extend readme
Thu Nov 11 14:52:33 2021 +0100,u234798,initial state
