Fri Dec 17 15:38:03 2021 +0100,e509243,Merge branch 'develop' of https://e509243@code.sbb.ch/scm/pz_rosy/rosy-flow-ceres.git into develop
Fri Dec 17 15:37:40 2021 +0100,e509243,ROSYF-159,Explicitly sort Vehicles before processing
Wed Dec 15 10:48:27 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Wed Dec 15 10:47:48 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.12
Wed Dec 15 10:42:12 2021 +0100,e509243,Merge branch 'develop' of https://e509243@code.sbb.ch/scm/pz_rosy/rosy-flow-ceres.git into develop
Wed Dec 15 10:41:55 2021 +0100,e509243,ROSYF-157 Don't send foreign trains to CeresDB anymore; only to Kafka
Mon Dec 13 08:16:50 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Mon Dec 13 08:16:12 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.11
Mon Dec 13 08:12:03 2021 +0100,e509243,Fix failing tests
Mon Dec 13 08:06:44 2021 +0100,e509243,Merge branch 'develop' of https://e509243@code.sbb.ch/scm/pz_rosy/rosy-flow-ceres.git into develop
Mon Dec 13 08:05:53 2021 +0100,e509243,Mitigate log4j-core security vulnerability
Fri Nov 26 10:39:56 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Fri Nov 26 10:39:30 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.10
Wed Nov 24 09:17:10 2021 +0100,e509243,ROSYF-132 Fix healthcheck regression
Mon Nov 22 11:06:21 2021 +0100,e509243,Merge branch 'develop' of https://e509243@code.sbb.ch/scm/pz_rosy/rosy-flow-ceres.git into develop
Mon Nov 22 11:02:28 2021 +0100,e509243,ROSYF-135,Move to lisa
Wed Nov 17 13:17:50 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Wed Nov 17 13:16:37 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.9
Wed Nov 17 13:12:42 2021 +0100,e509243,Prepare for release
Wed Nov 17 10:07:02 2021 +0100,e509243,Lookup BPs for GEMS-origin too
Wed Nov 17 08:49:25 2021 +0100,e509243,Fix test
Wed Nov 17 08:46:58 2021 +0100,e509243,Fix didok
Wed Nov 17 08:21:19 2021 +0100,e509243,Use simpler JSON
Tue Nov 16 10:16:42 2021 +0100,e509243,Use latest ifolov-persistence
Thu Nov 11 15:45:18 2021 +0100,e509243,Merge branch 'develop' of https://e509243@code.sbb.ch/scm/pz_rosy/rosy-flow-ceres.git into develop
Thu Nov 11 15:45:00 2021 +0100,e509243,ROSYF-132,SpringBoot Upgrade
Wed Oct 27 09:05:09 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Wed Oct 27 09:04:48 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.8
Tue Oct 26 13:10:43 2021 +0200,e509243,Merge branch 'develop' of https://e509243@code.sbb.ch/scm/pz_rosy/rosy-flow-ceres.git into develop
Tue Oct 26 13:10:24 2021 +0200,e509243,ROSYF-100 Send foreign trains to the ceres-DB too
