Tue Mar 30 15:05:34 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Tue Mar 30 15:05:05 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.3
Tue Mar 30 14:58:50 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-flow-fzpf.git into develop
Tue Mar 30 14:58:31 2021 +0200,e509243,Move int and prod to asterix
Fri Mar 19 09:00:53 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Fri Mar 19 09:00:22 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.2
Mon Mar 15 13:57:52 2021 +0100,e509243,Pull request #7,ROSYF-17 Move test to test07
Mon Mar 15 13:57:19 2021 +0100,e509243,ROSYF-17 Move test to test07
Thu Mar 4 09:30:17 2021 +0100,e509243,Pull request #6,Set correlationId
Thu Mar 4 09:29:45 2021 +0100,e509243,Set correlationId
Wed Jan 6 08:30:50 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Wed Jan 6 08:30:17 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.1
Wed Jan 6 08:24:06 2021 +0100,e509243,Splunk migration
Mon Jan 4 13:44:09 2021 +0100,e509243,We have a test-environment anyway.
