Mon Nov 22 11:11:11 2021 +0100,e509243,ROSYF-135,move to lisa
Thu Apr 22 16:05:15 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-flow-zke.git into develop
Thu Apr 22 16:04:54 2021 +0200,e509243,Don't process messages from zke-int.
Tue Mar 30 15:39:09 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.2.0-SNAPSHOT
Tue Mar 30 15:38:46 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.1.2
Tue Mar 30 15:33:53 2021 +0200,e509243,ROSYF-17 Move int and prod to asterix
Fri Mar 5 08:42:54 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.2.0-SNAPSHOT
Fri Mar 5 08:42:41 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.1.1
Fri Mar 5 08:32:00 2021 +0100,e509243,ROSYF-19 Fix URL
Thu Mar 4 10:09:33 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-flow-zke.git into develop
Thu Mar 4 10:09:13 2021 +0100,e509243,ROSYF-4,Set correlationId
Thu Feb 25 11:20:29 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.1.0-SNAPSHOT
Thu Feb 25 11:20:10 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.0.3
Thu Feb 25 11:14:56 2021 +0100,e509243,Fix to.name, targetPort
Thu Feb 25 11:09:49 2021 +0100,e509243,ROSYF-19 Added cluster-independent URL
Wed Jan 6 08:57:03 2021 +0100,e509243,Splunk migration
