Wed Nov 24 08:48:42 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Wed Nov 24 08:46:34 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.23
Tue Nov 23 15:50:55 2021 +0100,e509243,ROSYF-132 Adapt to new HealthCheck format of SpringBoot.
Mon Nov 22 10:18:18 2021 +0100,e509243,ROSYF-135 move from rosya-int to rosy-int
Fri Nov 19 16:23:17 2021 +0100,e509243,Remove annotation that is only for openshift 3.11
Fri Nov 19 12:51:54 2021 +0100,e509243,SSP Clusterindependent URL
Fri Nov 19 10:21:37 2021 +0100,e509243,Fix lisa cluster name
Fri Nov 19 10:20:08 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend.git into develop
Fri Nov 19 10:19:49 2021 +0100,e509243,ROSYF-135 Frontend to lisa
Wed Nov 17 13:32:49 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Wed Nov 17 13:28:30 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.22
Mon Nov 8 11:02:58 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Mon Nov 8 11:00:04 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.21
Mon Nov 8 10:34:53 2021 +0100,e509243,whiter
Mon Nov 8 10:21:09 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend.git into develop
Mon Nov 8 10:20:46 2021 +0100,e509243,Use same green as in column bg of the GEMS/Leztze Position
Fri Nov 5 10:12:11 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Fri Nov 5 10:10:02 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.20
Fri Nov 5 10:02:26 2021 +0100,e509243,Switch to green/gray switches
Tue Nov 2 16:05:29 2021 +0100,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Tue Nov 2 16:03:15 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.19
Tue Nov 2 15:43:21 2021 +0100,e509243,Pull request #141,Feature/aver ROSYF-98 ClientSideFiltering
Tue Nov 2 15:42:48 2021 +0100,e509243,Change to grey/grey scheme
Tue Nov 2 15:42:32 2021 +0100,e509243,Don't expand anymore after filter-change
Tue Nov 2 15:42:15 2021 +0100,e509243,Flip Ceres-filter
Mon Nov 1 11:39:36 2021 +0100,e509243,Pull request #140,Use source-filter for formation-compare too
Mon Nov 1 11:38:56 2021 +0100,e509243,Use source-filter for formation-compare too
Mon Nov 1 09:11:30 2021 +0100,e509243,Pull request #139,Allow GPS filter too.
Mon Nov 1 09:10:39 2021 +0100,e509243,Allow GPS filter too.
Mon Nov 1 09:01:29 2021 +0100,e509243,Pull request #138,Feature/aver ROSYF-98 ClientSideFiltering
Mon Nov 1 08:59:23 2021 +0100,e509243,Fix css
Mon Nov 1 08:59:11 2021 +0100,e509243,ROSYF-91,Show GPS results too
Mon Oct 18 15:17:55 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Mon Oct 18 15:14:52 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.18
Mon Oct 18 15:04:42 2021 +0200,e509243,ROSYF-98,Removed SNCF-option (makes no sense)
Mon Oct 18 11:59:47 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Mon Oct 18 11:56:49 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.17
Thu Sep 30 13:01:57 2021 +0200,NT-SBB1\e513441,Add border on hover.
Thu Sep 30 12:05:56 2021 +0200,NT-SBB1\e513441,Merge branches 'feature/rosyf-94' and 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend into feature/rosyf-94
Thu Sep 30 11:53:13 2021 +0200,NT-SBB1\e513441,[ROSYF-94] Add settings view.
Thu Sep 30 10:30:55 2021 +0200,e509243,Pull request #136,Feature/aver ROSYF-98 ClientSideFiltering
Wed Sep 29 15:49:34 2021 +0200,e509243,Added translations for new placeholders.
Wed Sep 29 14:53:44 2021 +0200,e509243,Merge branch 'feature/aver_ROSYF-98_ClientSideFiltering' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend.git into feature/aver_ROSYF-98_ClientSideFiltering
Wed Sep 29 14:53:02 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend.git into feature/aver_ROSYF-98_ClientSideFiltering
Wed Sep 29 14:43:51 2021 +0200,NT-SBB1\e513441,[ROSYF-98] Add filters to train-number header bar.
Mon Sep 27 15:25:06 2021 +0200,e509243,Client side filtering of formations
Mon Sep 27 08:20:07 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Mon Sep 27 08:19:02 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.16
Mon Sep 27 08:07:14 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend.git into develop
Mon Sep 27 08:06:41 2021 +0200,e509243,Added Giruno images
Thu Sep 23 10:58:41 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Thu Sep 23 10:56:48 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.15
Thu Sep 23 10:46:53 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend.git into develop
Thu Sep 23 10:46:24 2021 +0200,e509243,ROSYF-85 Added Railjet images
Wed Sep 15 16:57:58 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Wed Sep 15 16:56:38 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.14
Wed Sep 15 14:42:43 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend.git into develop
Wed Sep 15 14:42:21 2021 +0200,e509243,Fix filenames
Wed Sep 15 13:51:39 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Wed Sep 15 13:50:15 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.13
Tue Sep 14 15:52:28 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend.git into develop
Tue Sep 14 15:51:43 2021 +0200,e509243,rosyf-85 Added images for ICE4
Fri Aug 27 10:20:50 2021 +0200,jenkins,[pipeline-helper] Set next dev version 0.29.0-SNAPSHOT
Fri Aug 27 10:18:23 2021 +0200,jenkins,[pipeline-helper] Committing and releasing stable version 0.28.12
Tue Aug 24 16:05:20 2021 +0200,e509243,Show timestamp too on position
Tue Aug 24 15:21:23 2021 +0200,e509243,Pull request #135,Feature/aver ROSYF-69 IntelligentSearchTypeChange
Tue Aug 24 15:06:06 2021 +0200,NT-SBB1\e513441,Remove changeDetection onpush in navbar
Tue Aug 24 14:26:48 2021 +0200,NT-SBB1\e513441,Merge branch 'feature/aver_ROSYF-69_IntelligentSearchTypeChange' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend into feature/aver_ROSYF-69_IntelligentSearchTypeChange
Tue Aug 24 14:26:33 2021 +0200,NT-SBB1\e513441,Fix router link active
Tue Aug 24 14:17:55 2021 +0200,e509243,Vehiclenumber from 6 digits on
Tue Aug 24 14:13:39 2021 +0200,NT-SBB1\e513441,Change keydown to keyup
Tue Aug 24 13:45:13 2021 +0200,NT-SBB1\e513441,Cleanups
Tue Aug 24 13:48:30 2021 +0200,e509243,Enter searches
Tue Aug 24 13:46:22 2021 +0200,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/rosy-frontend into feature/aver_ROSYF-69_IntelligentSearchTypeChange
