Tue Jun 29 15:27:30 2021 +0200,u230616,Pull request #35,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Jun 29 15:24:07 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Wed Jun 9 12:49:51 2021 +0200,u230616,Pull request #33,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Wed Jun 9 12:47:43 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Wed Jun 9 12:31:18 2021 +0200,automerge,Merge pull request #31 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Wed Jun 9 12:29:08 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Wed Apr 7 13:27:38 2021 +0200,automerge,Merge pull request #29 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Wed Apr 7 13:14:08 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Wed Apr 7 13:10:46 2021 +0200,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Mar 25 16:33:19 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Mar 9 15:10:15 2021 +0100,automerge,Merge pull request #26 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Tue Mar 9 15:03:35 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Mar 4 11:26:33 2021 +0100,automerge,Merge pull request #24 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Thu Mar 4 11:17:13 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon Mar 1 16:00:38 2021 +0100,automerge,Merge pull request #22 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Mon Mar 1 15:55:27 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Mon Mar 1 08:20:02 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Feb 18 11:13:20 2021 +0100,automerge,Merge pull request #20 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Thu Feb 18 10:48:46 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Feb 16 16:03:11 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Feb 16 14:45:55 2021 +0100,automerge,Merge pull request #18 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Tue Feb 16 14:43:51 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Feb 16 14:43:00 2021 +0100,automerge,Merge pull request #17 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Tue Feb 16 14:38:27 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Feb 16 14:32:40 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Feb 9 16:00:00 2021 +0100,automerge,Merge pull request #15 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Tue Feb 9 14:05:53 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Jan 28 15:27:12 2021 +0100,automerge,Merge pull request #12 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Thu Jan 28 15:23:18 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Jan 28 15:10:41 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Jan 28 15:07:05 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Thu Jan 28 12:10:14 2021 +0100,automerge,Merge pull request #10 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
Thu Jan 28 11:40:22 2021 +0100,u230616,feature/SOPRE-24736-ablosung-iib-mit-spring-integration
Tue Jan 26 08:16:43 2021 +0100,automerge,Merge pull request #8 in PZ_SOPRE/sopip-fpprog-import from feature/SOPRE-24736-ablosung-iib-mit-spring-integration to develop
