Fri Dec 31 11:26:42 2021 +0200,e513645,adjusted duration format
Thu Dec 30 17:08:59 2021 +0200,e513645,the other way around
Thu Dec 30 14:02:31 2021 +0200,e513645,adjusted comments a bit
Thu Dec 30 13:49:11 2021 +0200,e513645,Added new attributes,function for the CrewDiagram attribute,transfer to History
Wed Dec 29 14:46:50 2021 +0200,e513645,CrewActivityUnit calculation override and History transfer implementation
Fri Dec 24 15:43:35 2021 +0200,e513645,CrewActivity (+break) added, with smaller adjustments to the other calcs
Thu Dec 23 17:13:57 2021 +0200,e513645,Attributes on EmpDay and CrewDiagramActive created
Wed Dec 22 17:14:06 2021 +0200,e515795,1st Master view
Wed Dec 22 09:06:13 2021 +0100,e510372,Pull request #1267,SOPRE-31993 Unnecessary AuditTrail entries for EmployeeRequests
Fri Dec 17 10:52:46 2021 +0200,e526230,remove comment
Thu Dec 16 14:36:10 2021 +0200,ue86889,Add further check and guard
Thu Dec 16 13:50:37 2021 +0200,ue86889,Refactor Find/Creata logic for MemoryStatistics
Thu Dec 16 13:28:39 2021 +0200,e510372,imp
Thu Dec 16 10:24:38 2021 +0200,e526230,adding comment
Thu Dec 16 09:48:48 2021 +0200,e526230,apply check only for LE
Thu Dec 16 00:05:53 2021 +0200,ue86889,Change logger argument types from Number to Real
Wed Dec 15 23:24:48 2021 +0200,ue86889,Introduce Find/Create of MemoryStatistics dataset
Wed Dec 15 23:10:08 2021 +0200,ue86889,Unload instead of Delete
Wed Dec 15 23:05:03 2021 +0200,ue86889,logging the daemon execution
Wed Dec 15 22:50:44 2021 +0200,ue86889,Add OnChange response to Memory Statistics daemon enable checkbox
Wed Dec 15 17:37:48 2021 +0200,ue86889,small correction
Wed Dec 15 17:06:51 2021 +0200,ue86889,Complete implementation of Memory Statistics daemon
Wed Dec 15 15:47:04 2021 +0100,e510372,Pull request #1251,SOPRE-31619 Deactivation Undo/Redo button AP
Wed Dec 15 12:53:41 2021 +0200,e526230,changing the check for plst
