Wed Dec 22 11:43:29 2021 +0100,e501566,remove old form
Wed Dec 22 09:32:05 2021 +0100,e513645,Pull request #766,SOPRE-31648 Export more employes to SOPRE Web,Stefan
Wed Dec 22 07:59:26 2021 +0100,e501566,new list from scratch
Tue Dec 21 21:18:01 2021 +0100,e501566,new created form
Tue Dec 21 16:58:20 2021 +0200,e513645,adjusted the default  planning group ID at export
Tue Dec 21 12:06:43 2021 +0100,e515795,Pull request #764,2022.r2.t1/feature/sopre 30595 translations helen masterview test
Tue Dec 21 12:58:57 2021 +0200,e515795,Translation correction
Tue Dec 21 09:43:45 2021 +0200,e515795,Added translations for master view SOPRE-30539
Tue Dec 21 08:31:40 2021 +0100,e524070,Pull request #722,Changes
Mon Dec 20 20:41:43 2021 +0100,e501566,debug
Mon Dec 20 20:07:15 2021 +0100,e501566,dataholder change
Mon Dec 20 14:50:14 2021 +0100,e510372,Pull request #756,SOPRE-31889 Refinements for the SAP Import Improvements
Mon Dec 20 15:29:10 2021 +0200,e524070,Added a missing line
Mon Dec 20 14:37:33 2021 +0200,e524070,Added new response for AnnualLeaveSlotRequest
Mon Dec 20 14:19:09 2021 +0200,e510372,Merge branch 'develop'
Mon Dec 20 14:12:55 2021 +0200,e510372,adjustment
Mon Dec 20 13:58:56 2021 +0200,e524070,Changed text
Mon Dec 20 10:30:09 2021 +0100,e501566,change dataholder for capacity overview GC
Mon Dec 20 10:21:39 2021 +0200,e513645,Others may update
Fri Dec 17 15:22:56 2021 +0200,e524070,Removed commented precondition
Fri Dec 17 14:59:38 2021 +0200,e524070,Merge branch 'develop'
Fri Dec 17 14:22:09 2021 +0200,e524070,Removing the dialogs
Fri Dec 17 13:06:33 2021 +0100,e524070,Pull request #739,SOPRE-31630 bianca leavegroups automation
Fri Dec 17 09:48:02 2021 +0100,e501566,clean and debug
Thu Dec 16 18:14:44 2021 +0100,e501566,debug
Thu Dec 16 16:57:06 2021 +0100,e501566,debug
Thu Dec 16 15:46:27 2021 +0100,e501566,remove handling changes to propagate to capacity overview
Thu Dec 16 15:28:49 2021 +0100,e525732,Pull request #737,SOPRE-31734
