Mon Dec 6 11:27:12 2021 +0100,e516596,Merge pull request #31 in PZ_SOPRE/sopreweb-login-page from feature/SOPRE-31635-sopreweb-spring-security-update to develop
Tue Nov 30 10:29:27 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,removed spring boots admin and it's configuration
Mon Nov 22 12:05:09 2021 +0100,e516596,DB(SOPRE-31635)  DONE, ,updated the spring-starter-parent to v2.5.6 (okt.2021 release)     -> automatically updates the spring-starter security to v2.5.6        -> includes spring security v5.5.3 (both web and config)  ,updated the Jackson and common.io libraries  ,refactored the controllers @AuthenticationPrincipal class  ,removed the unnecessary endpoint configs as they were set the default values  ,added SOPREWEB_LOGIN_PAGE_VERSIOn to the application.yml
Wed Oct 27 10:43:08 2021 +0200,ue67532,Pull request #29,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Aug 30 16:15:53 2021 +0200,ue67532,SOPRE-26967,Modify db user
Wed Mar 24 07:08:03 2021 +0100,ue67532,Pull request #26,feature/SOPRE-25817-sopreweb-admin-rolle-fachbus_all-falsch
Tue Mar 23 17:46:47 2021 +0100,ue67532,SOPRE-25817,Manage new role FACHBUS_ADMIN
Mon Mar 22 10:54:11 2021 +0100,ue67532,Pull request #24,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Mar 22 10:43:43 2021 +0100,ue67532,SOPRE-26967,Change SPLUNK index
Mon Mar 22 08:48:15 2021 +0100,ue67532,Pull request #22,feature/SOPRE-26967-new-db-users-for-sopreweb
Mon Mar 22 08:35:15 2021 +0100,ue67532,SOPRE-26967,Change SPLUNK index
Thu Feb 25 15:55:18 2021 +0100,automerge,Merge pull request #20 in PZ_SOPRE/sopreweb-login-page from feature/SOPRE-26967-new-db-users-for-sopreweb to develop
Thu Feb 18 16:45:52 2021 +0100,ue67532,SOPRE-26967,Remove POC openshift congigs,Remove unused code
