Thu Dec 23 15:27:37 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/ui-backend.git into develop
Thu Dec 23 15:27:16 2021 +0100,e509243,ROSYF-129 Workaround for faulty TGV REBETyp in PISA-file
Fri Dec 17 11:12:12 2021 +0100,jenkins,[pipeline-helper] Set next dev version 2.43.0-SNAPSHOT
Fri Dec 17 11:11:12 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 2.42.15
Fri Dec 17 10:57:10 2021 +0100,e509243,Fix broken test.
Fri Dec 17 10:52:24 2021 +0100,e509243,ROSYF-149,Fixed report.
Mon Nov 22 10:28:39 2021 +0100,e509243,Fix project name
Mon Nov 22 10:23:09 2021 +0100,e509243,ROSYF-135,Move from rosya-int to rosy-int
Fri Nov 19 16:39:59 2021 +0100,e509243,No proxy for lisa
Fri Nov 19 16:23:50 2021 +0100,e509243,Remove annotation that is only for Openshift 3.11
Fri Nov 19 12:52:17 2021 +0100,e509243,SSP cluster-independent-url
Fri Nov 19 11:59:38 2021 +0100,e509243,Fix cluster name
Fri Nov 19 11:58:03 2021 +0100,e509243,Merge branch 'develop' of https://code.sbb.ch/scm/pz_rosy/ui-backend.git into develop
Fri Nov 19 11:57:40 2021 +0100,e509243,ROSYF-135 Backend to Lisa
Wed Nov 17 13:23:49 2021 +0100,jenkins,[pipeline-helper] Set next dev version 2.43.0-SNAPSHOT
Wed Nov 17 13:22:48 2021 +0100,jenkins,[pipeline-helper] Committing and releasing stable version 2.42.14
Wed Nov 17 11:43:02 2021 +0100,e509243,Query fix
Wed Nov 17 11:11:46 2021 +0100,e509243,Show mess_zeitpunkt of matching origin only.
Fri Nov 12 13:50:36 2021 +0100,e509243,ROSYF-56 Removed unused code
Fri Nov 12 13:38:12 2021 +0100,e509243,ROSYF-56 Removed superfluous files
Fri Nov 12 13:02:55 2021 +0100,e509243,Comments in SQL not allowed..
Fri Nov 12 09:31:37 2021 +0100,e509243,Missing images report,only show vehicles that generate formations
Fri Nov 12 09:28:15 2021 +0100,e509243,ROSYF-72 Couple correct GEMS-Registration
Thu Nov 11 15:39:23 2021 +0100,e509243,ROSYF-132,SpringBoot upgrade
Thu Nov 11 15:36:59 2021 +0100,e509243,ROSYF-132,SpringBoot upgrade
Thu Nov 11 15:36:08 2021 +0100,e509243,Pull request #182,Fix for double GEMS-Registration trains 583 and 3524
Thu Nov 11 15:35:36 2021 +0100,e509243,Fix for double GEMS-Registration trains 583 and 3524
Wed Nov 10 16:04:08 2021 +0100,e509243,Pull request #181,Show more info
Wed Nov 10 16:03:13 2021 +0100,e509243,Show more info
Wed Nov 10 14:01:36 2021 +0100,e509243,Pull request #180,Trains that change direction have more than one gemsregistration:
Wed Nov 10 13:39:10 2021 +0100,e509243,Trains that change direction have more than one gemsregistration:
Tue Nov 9 15:28:54 2021 +0100,e509243,Pull request #179,Additionally show 1st vehicle-based- and gems-registration-based GSMR
Tue Nov 9 15:22:09 2021 +0100,e509243,Additionally show 1st vehicle-based- and gems-registration-based GSMR
Mon Oct 25 09:27:38 2021 +0200,jenkins,[pipeline-helper] Set next dev version 2.43.0-SNAPSHOT
